municipio,isla,provincia,longitud_capital,latitud_capital
Las Palmas de Gran Canaria,Gran Canaria,Las Palmas,-15.428533,28.125058
Santa Cruz de Tenerife,Tenerife,Santa Cruz de Tenerife,-16.254634,28.469805
